,molecular mass,mlogp,tpsa,HAccept,HDon,nrotate,carboxylic acid,carboxylate,ester,ether,alcohol,amide,primary amine,secondary amine,4 valenced nitrogen,tertiary amine,keton,cyanide,epoxide,sulfonyl,cyclohexane,piperidine,pyrrolidine,benzene,Methoxybenzene,methylaniline,Phenethylamine,pyridine,pyrrole,fluorine,lat1,lacc,6 atom ring,common atoms in fused 6 atom rings,opioid feature
0,406.4129632,-0.565299999999995,112.04,9,2,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,2,0,0
0,540.0106832,0.534000000000006,145.34,12,3,11,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,2,0,0
0,469.9390032,1.8867,80.82,8,2,9,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,2,1,3,0,0,0,1,0,3,4,2,0
0,391.41984,1.617,73.01,7,1,3,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,3,2,0
0,428.4351864,-0.306499999999994,86.27,10,2,5,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,3,2,0,1
0,560.6374664,2.53290000000001,84.06,10,3,8,0,0,0,1,0,1,0,1,0,2,0,0,0,0,0,0,0,3,0,3,0,0,0,2,0,3,5,0,1
0,384.2372,-0.870499999999995,129.04,8,4,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,2,0,0
0,729.89656,3.38960000000001,149.55,12,3,4,0,0,0,9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,2,0
0,434.4628232,1.3965,91.23,8,1,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,3,4,2,0
0,380.3508664,-0.046399999999996,83.62,9,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,4,5,0
0,582.9608896,1.2459,129.28,12,1,10,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,3,0,4,3,0,0
0,606.770796,9.1597,60.69,8,2,14,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,5,0,11,3,4,0
0,293.36626,1.3135,79.34,5,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0
0,285.30274,1.21,79.34,5,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0
0,111.14506,-1.1459,50.08,3,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,312.3696,-1.29219999999999,88.82,7,1,5,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,2,0,0
0,1202.61124,1.20279999999999,313.56,23,5,16,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
0,454.43928,-4.8688,216.58,13,7,10,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,3,2,1
0,259.26062,-1.2472,101.98,6,3,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2,0,0
0,287.35354,2.0392,61.72,4,2,4,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,4,2,0,0
